manual feat,,,,,,
,,,,,,
,,,,,,
,,,,,,
states,dem percent 2012,dem percent 2008,dem percent 2004,dem percent 2000,dem percent 1996,Average-5-years
AL,0.3878377147,0.3910909725,0.3710222865,0.4239305808,0.4626612885,0.41
AK,0.4268470952,0.3893521508,0.3677371702,0.3206305144,0.3957149749,0.38
AZ,0.4538661978,0.4568609928,0.4472499497,0.4671740083,0.5122377115,0.47
AR,0.3784559465,0.3982827939,0.4506425175,0.4719931049,0.5935282486,0.46
CA,0.6187281116,0.6227844959,0.5504132045,0.5620299,0.5721627163,0.59
CO,0.5274800715,0.5455080766,0.4763377044,0.4551408006,0.4924079237,0.50
CT,0.5877257748,0.6131833825,0.5527494756,0.5925565805,0.6036350688,0.59
DE,0.5944695492,0.6263813865,0.5383150625,0.5674006479,0.5862365663,0.58
DC,0.925876492,0.9340076833,0.9052027865,0.9048769448,0.9012354821,0.91
FL,0.5044225214,0.5141966003,0.4747632042,0.4999539059,0.531549612,0.50
GA,0.460433509,0.4737166449,0.416457673,0.4401624638,0.493677308,0.46
HI,0.717038485,0.7299372588,0.54404448,0.5982729628,0.6427615181,0.65
ID,0.3357861316,0.3697541019,0.3067726182,0.2915150954,0.3920097242,0.34
IL,0.5857752339,0.6273426404,0.5520863405,0.5618001032,0.5960509219,0.58
IN,0.447996254,0.5052195345,0.3957652375,0.4199521747,0.4685159364,0.45
IA,0.5295935193,0.5484877779,0.4966332074,0.5016277919,0.5573338892,0.53
KS,0.3888667325,0.4238772418,0.3713290122,0.3908309254,0.3992763445,0.39
KY,0.3845722761,0.4176657241,0.3999238008,0.42272213,0.5052905118,0.43
LA,0.4125317439,0.4054282584,0.4266905873,0.4606075403,0.5656083827,0.45
ME,0.5785992139,0.5882952498,0.5458301641,0.5274784154,0.6266212042,0.57
MD,0.6332172579,0.6293008729,0.5656558421,0.584708246,0.5863842349,0.60
MA,0.6178568075,0.6319707821,0.6274285551,0.6478934376,0.6863983545,0.64
MI,0.5480053207,0.5837130158,0.5172584447,0.5263460648,0.5732441337,0.55
MN,0.5394122646,0.55229375,0.5176091061,0.5128641198,0.5937938878,0.54
MS,0.441981008,0.4335806901,0.4007558559,0.4139451516,0.4725277625,0.43
MO,0.4522133325,0.4993242085,0.4638028733,0.4828805134,0.5354703748,0.49
MT,0.4296576814,0.4883059672,0.3949992382,0.3634363802,0.4831258955,0.43
NE,0.3887060973,0.4239092558,0.3315266274,0.3482051914,0.394451775,0.38
NV,0.5340754216,0.5638673813,0.4868240428,0.481431615,0.5058653136,0.51
NH,0.5283375198,0.5486854112,0.5069028862,0.493321998,0.5561066616,0.53
NJ,0.5898685114,0.5786462987,0.5337053632,0.5821140942,0.5996678531,0.58
NM,0.5529520465,0.5766490002,0.4959966411,0.5003192603,0.5402413056,0.53
NY,0.6430089453,0.635766811,0.592877657,0.6308788523,0.6601749592,0.63
NC,0.489659651,0.501659633,0.43758028,0.4353600302,0.4747001333,0.47
ND,0.3988210486,0.4559134372,0.3609064585,0.3527260343,0.4608868099,0.41
OH,0.5151455254,0.5233384076,0.4894123928,0.4818156834,0.5359694918,0.51
OK,0.3322768026,0.3435491888,0.3442959834,0.3891932878,0.4559939089,0.37
OR,0.5627116718,0.5841372118,0.5210862577,0.5023589199,0.5469311572,0.54
PA,0.52731934,0.5522970382,0.512582821,0.5214847872,0.5516120536,0.53
RI,0.6401674598,0.6419813751,0.6057797025,0.6564911607,0.6900421339,0.65
SC,0.446917453,0.4545557081,0.413646414,0.4184697277,0.4677928444,0.44
SD,0.4078150086,0.4570429277,0.390867092,0.3838528743,0.480664146,0.42
TN,0.3964892847,0.423685282,0.4281455455,0.4803713321,0.5128664234,0.45
TX,0.4199210278,0.4406406325,0.384898081,0.3904372985,0.4733937662,0.42
UT,0.253738111,0.3547363863,0.2665356084,0.2827449457,0.3798051218,0.31
VT,0.6824725883,0.6889918174,0.6030100214,0.554403509,0.6318283038,0.63
VA,0.5196737669,0.5318258441,0.4586630329,0.4585276369,0.4893940549,0.49
WA,0.5762829827,0.587520268,0.5364653768,0.5294477101,0.5719465284,0.56
WV,0.3632570237,0.4332625623,0.4352028937,0.4675792598,0.5835466518,0.46
WI,0.535163824,0.5705567825,0.5019180327,0.501150683,0.5591919666,0.53
WY,0.2883936599,0.3343797664,0.2968729683,0.2901769436,0.4251208257,0.33
